Time,Tco,Tho
200.0,46.67644,81.504527
201.0,46.677209,81.467884
202.0,46.677949,81.431283
203.0,46.678661,81.394724
204.0,46.67935,81.358208
205.0,46.680019,81.321733
206.0,46.680665,81.285299
207.0,46.681288,81.248908
208.0,46.681889,81.212558
209.0,46.682469,81.17625
210.0,46.683029,81.139984
211.0,46.683569,81.103759
212.0,46.68409,81.067576
213.0,46.684592,81.031434
214.0,46.685075,80.995334
215.0,46.685541,80.959275
216.0,46.685991,80.923258
217.0,46.686429,80.887281
218.0,46.686852,80.851346
219.0,46.68726,80.815453
220.0,46.687654,80.7796
221.0,46.688035,80.743788
222.0,46.688402,80.708018
223.0,46.688757,80.672288
224.0,46.689099,80.6366
225.0,46.689429,80.600952
226.0,46.689746,80.565345
227.0,46.690052,80.529779
228.0,46.690346,80.494254
229.0,46.690633,80.45877
230.0,46.690911,80.423326
231.0,46.69118,80.387923
232.0,46.69144,80.35256
233.0,46.69169,80.317238
234.0,46.691932,80.281957
235.0,46.692165,80.246716
236.0,46.69239,80.211515
237.0,46.692607,80.176355
238.0,46.692815,80.141235
239.0,46.693016,80.106155
240.0,46.693208,80.071116
241.0,46.693398,80.036116
242.0,46.693587,80.001157
243.0,46.693772,79.966238
244.0,46.693951,79.931359
245.0,46.694127,79.896519
246.0,46.694299,79.86172
247.0,46.694466,79.826961
248.0,46.694631,79.792241
249.0,46.694791,79.757562
250.0,46.694949,79.722922
251.0,46.695103,79.688321
252.0,46.695255,79.653761
253.0,46.695403,79.61924
254.0,46.695548,79.584758
255.0,46.695691,79.550317
256.0,46.69583,79.515914
257.0,46.695966,79.481551
258.0,46.696099,79.447228
259.0,46.696229,79.412943
260.0,46.696356,79.378698
261.0,46.696479,79.344493
262.0,46.696597,79.310326
263.0,46.696712,79.276199
264.0,46.696822,79.24211
265.0,46.696928,79.208061
266.0,46.697028,79.174051
267.0,46.697122,79.14008
268.0,46.69721,79.106148
269.0,46.697292,79.072254
270.0,46.697366,79.0384
271.0,46.697432,79.004584
272.0,46.69749,78.970807
273.0,46.697538,78.937069
274.0,46.697587,78.903369
275.0,46.697669,78.869708
276.0,46.697748,78.836086
277.0,46.697824,78.802502
278.0,46.697898,78.768957
279.0,46.697969,78.73545
280.0,46.698037,78.701981
281.0,46.698102,78.668551
282.0,46.698164,78.635159
283.0,46.698223,78.601806
284.0,46.698278,78.56849
285.0,46.69833,78.535213
286.0,46.698378,78.501974
287.0,46.698423,78.468773
288.0,46.698463,78.43561
289.0,46.6985,78.402485
290.0,46.698532,78.369398
291.0,46.698559,78.336349
292.0,46.698582,78.303338
293.0,46.698601,78.270365
294.0,46.698614,78.237429
295.0,46.698622,78.204531
296.0,46.698624,78.171671
297.0,46.698636,78.138848
298.0,46.698649,78.106064
299.0,46.698659,78.073316
300.0,46.698667,78.040606
301.0,46.698673,78.007934
302.0,46.698677,77.975299
303.0,46.698679,77.942702
304.0,46.698679,77.910141
305.0,46.698678,77.877619
306.0,46.698675,77.845133
307.0,46.698671,77.812685
308.0,46.698666,77.780273
309.0,46.698659,77.747899
310.0,46.698652,77.715562
311.0,46.698645,77.683262
312.0,46.698637,77.651
313.0,46.69863,77.618774
314.0,46.698622,77.586585
315.0,46.698616,77.554432
316.0,46.69861,77.522317
317.0,46.698605,77.490239
318.0,46.698602,77.458197
319.0,46.698595,77.426192
320.0,46.698578,77.394223
321.0,46.698561,77.362292
322.0,46.698543,77.330396
323.0,46.698525,77.298538
324.0,46.698507,77.266716
325.0,46.698489,77.23493
326.0,46.698471,77.203181
327.0,46.698453,77.171468
328.0,46.698436,77.139791
329.0,46.69842,77.108151
330.0,46.698404,77.076547
331.0,46.698389,77.044979
332.0,46.698376,77.013447
333.0,46.698363,76.981952
334.0,46.698353,76.950492
335.0,46.698344,76.919069
336.0,46.698337,76.887681
337.0,46.698332,76.85633
338.0,46.69833,76.825014
339.0,46.69833,76.793734
340.0,46.698334,76.76249
341.0,46.69834,76.731282
342.0,46.698335,76.70011
343.0,46.698331,76.668973
344.0,46.698327,76.637872
345.0,46.698324,76.606807
346.0,46.698321,76.575777
347.0,46.69832,76.544783
348.0,46.698319,76.513824
349.0,46.69832,76.482901
350.0,46.698321,76.452013
351.0,46.698322,76.42116
352.0,46.698325,76.390343
353.0,46.698328,76.359561
354.0,46.698332,76.328815
355.0,46.698336,76.298103
356.0,46.698341,76.267427
357.0,46.698347,76.236786
358.0,46.698353,76.20618
359.0,46.698359,76.175609
360.0,46.698366,76.145073
361.0,46.698372,76.114572
362.0,46.698379,76.084106
363.0,46.698386,76.053675
364.0,46.698395,76.023279
365.0,46.698405,75.992917
366.0,46.698417,75.962591
367.0,46.698428,75.932299
368.0,46.69844,75.902042
369.0,46.698452,75.871819
370.0,46.698465,75.841631
371.0,46.698477,75.811478
372.0,46.698489,75.781359
373.0,46.698501,75.751274
374.0,46.698513,75.721224
375.0,46.698525,75.691209
376.0,46.698536,75.661228
377.0,46.698547,75.631281
378.0,46.698557,75.601368
379.0,46.698566,75.57149
380.0,46.698575,75.541646
381.0,46.698582,75.511836
382.0,46.698588,75.48206
383.0,46.698593,75.452318
384.0,46.698597,75.422611
385.0,46.698599,75.392937
386.0,46.6986,75.363298
387.0,46.698607,75.333692
388.0,46.698614,75.30412
389.0,46.698621,75.274582
390.0,46.698627,75.245078
391.0,46.698633,75.215608
392.0,46.698638,75.186171
393.0,46.698643,75.156768
394.0,46.698648,75.127399
395.0,46.698651,75.098064
396.0,46.698655,75.068762
397.0,46.698658,75.039493
398.0,46.69866,75.010258
399.0,46.698662,74.981057
400.0,46.698663,74.951889
401.0,46.698664,74.922754
402.0,46.698665,74.893653
403.0,46.698664,74.864585
404.0,46.698664,74.835551
405.0,46.698663,74.806549
406.0,46.698661,74.777581
407.0,46.698659,74.748646
408.0,46.698657,74.719744
409.0,46.698654,74.690875
410.0,46.69865,74.66204
411.0,46.698647,74.633237
412.0,46.698642,74.604467
413.0,46.698638,74.57573
414.0,46.698633,74.547026
415.0,46.698628,74.518355
416.0,46.698623,74.489717
417.0,46.698617,74.461112
418.0,46.698612,74.432539
419.0,46.698606,74.403999
420.0,46.698601,74.375492
421.0,46.698595,74.347017
422.0,46.69859,74.318575
423.0,46.698585,74.290165
424.0,46.698581,74.261788
425.0,46.698577,74.233444
426.0,46.698573,74.205132
427.0,46.69857,74.176852
428.0,46.698567,74.148605
429.0,46.698566,74.12039
430.0,46.698565,74.092207
431.0,46.698563,74.064057
432.0,46.698551,74.035939
433.0,46.698539,74.007853
434.0,46.698526,73.979799
435.0,46.698512,73.951777
436.0,46.698498,73.923788
437.0,46.698483,73.89583
438.0,46.698468,73.867904
439.0,46.698452,73.840011
440.0,46.698435,73.812149
441.0,46.698418,73.784319
